央视频道,#genre#
山东卫视,http://27.189.127.29:402/rtp/239.254.200.55:8052
山西卫视,http://27.189.127.29:402/rtp/239.254.200.83:8172
广东卫视,http://27.189.127.29:402/rtp/239.254.200.56:8048
广西卫视,http://27.189.127.29:402/rtp/239.254.200.80:8300
新疆卫视,http://27.189.127.29:402/rtp/239.254.200.89:8160
江苏卫视,http://27.189.127.29:402/rtp/239.254.200.51:8028
江西卫视,http://27.189.127.29:402/rtp/239.254.201.12:6290
河北卫视,http://27.189.127.29:402/rtp/239.254.200.174:6000
河南卫视,http://27.189.127.29:402/rtp/239.254.201.16:7174
浙江卫视,http://27.189.127.29:402/rtp/239.254.200.53:8036
海南卫视,http://27.189.127.29:402/rtp/239.254.201.125:6288
深圳卫视,http://27.189.127.29:402/rtp/239.254.200.50:8020
湖北卫视,http://27.189.127.29:402/rtp/239.254.200.164:6000
湖南卫视,http://27.189.127.29:402/rtp/239.254.200.48:8012
甘肃卫视,http://27.189.127.29:402/rtp/239.254.200.90:8188
西藏卫视,http://27.189.127.29:402/rtp/239.254.200.88:8164
贵州卫视,http://27.189.127.29:402/rtp/239.254.201.20:6315
辽宁卫视,http://27.189.127.29:402/rtp/239.254.200.57:8056
重庆卫视,http://27.189.127.29:402/rtp/239.254.200.203:6323
陕西卫视,http://27.189.127.29:402/rtp/239.254.200.82:8140
青海卫视,http://27.189.127.29:402/rtp/239.254.200.85:8184
黑龙江卫视,http://27.189.127.29:402/rtp/239.254.200.49:8016
其他频道,#genre#
CETV1,http://27.189.127.29:402/rtp/239.254.200.225:6259
CETV2,http://27.189.127.29:402/rtp/239.254.200.226:6260
CETV4,http://27.189.127.29:402/rtp/239.254.200.227:6261
BTV冬奥纪实,http://27.189.127.29:402/rtp/239.254.200.188:6311
CGTN,http://27.189.127.29:402/rtp/239.254.200.12:8056
SLTV,http://27.189.127.29:402/rtp/239.254.201.100:5179
kaku少儿,http://27.189.127.29:402/rtp/239.254.200.91:9248
七彩戏剧,http://27.189.127.29:402/rtp/239.254.201.180:7213
三佳购物,http://27.189.127.29:402/rtp/239.254.200.143:6000
三河电视,http://27.189.127.29:402/rtp/239.254.201.113:5315
世界地理,http://27.189.127.29:402/rtp/239.254.200.102:6236
世界地理高清,http://27.189.127.29:402/rtp/239.254.201.226:7254
东光电视,http://27.189.127.29:402/rtp/239.254.201.76:5331
东方财经,http://27.189.127.29:402/rtp/239.254.201.181:7214
中华特产,http://27.189.127.29:402/rtp/239.254.201.184:6263
中华美食,http://27.189.127.29:402/rtp/239.254.201.189:7171
中国交通频道,http://27.189.127.29:402/rtp/239.254.201.110:5181
中学生,http://27.189.127.29:402/rtp/239.254.200.113:6243
中式八球国际公开赛,http://27.189.127.29:402/rtp/239.254.200.187:6000
丰南电视,http://27.189.127.29:402/rtp/239.254.200.218:5186
丰宁电视,http://27.189.127.29:402/rtp/239.254.200.5:5290
丰润电视,http://27.189.127.29:402/rtp/239.254.201.58:5197
临漳电视,http://27.189.127.29:402/rtp/239.254.201.73:5221
乐亭电视,http://27.189.127.29:402/rtp/239.254.201.107:5200
书画,http://27.189.127.29:402/rtp/239.254.200.217:6267
井陉电视,http://27.189.127.29:402/rtp/239.254.201.215:6167
井陉矿区电视,http://27.189.127.29:402/rtp/239.254.201.14:5175
任县电视,http://27.189.127.29:402/rtp/239.254.201.115:5381
优优宝贝,http://27.189.127.29:402/rtp/239.254.201.186:6272
优漫卡通,http://27.189.127.29:402/rtp/239.254.201.203:7178
优购物,http://27.189.127.29:402/rtp/239.254.201.78:6283
体育赛事,http://27.189.127.29:402/rtp/239.254.201.170:8176
保定公共频道,http://27.189.127.29:402/rtp/239.254.200.145:6000
保定新闻综合,http://27.189.127.29:402/rtp/239.254.200.144:6000
保定生活健康,http://27.189.127.29:402/rtp/239.254.200.146:6000
元氏电视,http://27.189.127.29:402/rtp/239.254.200.191:5169
先锋乒羽,http://27.189.127.29:402/rtp/239.254.201.160:7172
全纪实,http://27.189.127.29:402/rtp/239.254.201.200:6356
兴隆电视,http://27.189.127.29:402/rtp/239.254.201.95:5295
兵器科技,http://27.189.127.29:402/rtp/239.254.200.101:6235
兵器科技高清,http://27.189.127.29:402/rtp/239.254.201.225:7249
冀州电视,http://27.189.127.29:402/rtp/239.254.200.179:5346
内丘电视,http://27.189.127.29:402/rtp/239.254.201.77:5380
冰雪体育,http://27.189.127.29:402/rtp/239.254.201.172:7244
动漫秀场,http://27.189.127.29:402/rtp/239.254.201.165:6358
南和电视,http://27.189.127.29:402/rtp/239.254.201.72:6000
南宫电视,http://27.189.127.29:402/rtp/239.254.201.48:5371
南皮电视,http://27.189.127.29:402/rtp/239.254.201.119:5335
卢龙电视,http://27.189.127.29:402/rtp/239.254.201.216:5233
双滦电视,http://27.189.127.29:402/rtp/239.254.201.63:5293
吴桥电视,http://27.189.127.29:402/rtp/239.254.201.138:5337
唐县电视,http://27.189.127.29:402/rtp/239.254.201.41:5264
唐山公共,http://27.189.127.29:402/rtp/239.254.200.169:6000
唐山影视,http://27.189.127.29:402/rtp/239.254.200.168:6000
唐山新闻综合,http://27.189.127.29:402/rtp/239.254.200.166:6000
唐山生活服务,http://27.189.127.29:402/rtp/239.254.200.167:6000
嘉佳卡通,http://27.189.127.29:402/rtp/239.254.201.201:7269
四海钓鱼,http://27.189.127.29:402/rtp/239.254.201.185:6363
固安电视,http://27.189.127.29:402/rtp/239.254.201.101:5312
国学,http://27.189.127.29:402/rtp/239.254.200.107:6255
大厂电视,http://27.189.127.29:402/rtp/239.254.201.71:5310
大名电视,http://27.189.127.29:402/rtp/239.254.201.149:6212
大城电视,http://27.189.127.29:402/rtp/239.254.201.34:5308
天元围棋高清,http://27.189.127.29:402/rtp/239.254.201.156:6270
央广购物,http://27.189.127.29:402/rtp/239.254.201.202:7268
央视台球,http://27.189.127.29:402/rtp/239.254.201.171:7176
女性时尚,http://27.189.127.29:402/rtp/239.254.200.110:6241
女性时尚,http://27.189.127.29:402/rtp/239.254.201.228:7255
孟村电视,http://27.189.127.29:402/rtp/239.254.201.38:5329
宁晋电视,http://27.189.127.29:402/rtp/239.254.201.51:5375
安平电视,http://27.189.127.29:402/rtp/239.254.201.42:5348
安新电视,http://27.189.127.29:402/rtp/239.254.201.99:6255
定兴电视,http://27.189.127.29:402/rtp/239.254.200.172:5246
定州电视,http://27.189.127.29:402/rtp/239.254.201.74:6251
家家购物,http://27.189.127.29:402/rtp/239.254.201.144:7262
家庭理财,http://27.189.127.29:402/rtp/239.254.201.188:6366
家有购物,http://27.189.127.29:402/rtp/239.254.201.80:7192
容城电视,http://27.189.127.29:402/rtp/239.254.201.102:6256
山东教育,http://27.189.127.29:402/rtp/239.254.200.247:4120
崇礼电视,http://27.189.127.29:402/rtp/239.254.201.117:5267
平乡电视,http://27.189.127.29:402/rtp/239.254.201.53:5378
平泉电视,http://27.189.127.29:402/rtp/239.254.200.177:5286
广宗电视,http://27.189.127.29:402/rtp/239.254.201.50:5373
广平电视,http://27.189.127.29:402/rtp/239.254.201.70:5220
康保电视,http://27.189.127.29:402/rtp/239.254.201.135:5270
廊坊公共,http://27.189.127.29:402/rtp/239.254.200.184:6000
廊坊新闻,http://27.189.127.29:402/rtp/239.254.200.183:6000
张北电视,http://27.189.127.29:402/rtp/239.254.201.130:5271
张家口公共,http://27.189.127.29:402/rtp/239.254.200.36:6000
张家口新闻综合,http://27.189.127.29:402/rtp/239.254.200.35:6000
徐水电视,http://27.189.127.29:402/rtp/239.254.201.147:6260
快乐垂钓,http://27.189.127.29:402/rtp/239.254.200.229:6257
快乐购,http://27.189.127.29:402/rtp/239.254.201.79:7196
怀旧剧场,http://27.189.127.29:402/rtp/239.254.200.95:6229
怀旧剧场高清,http://27.189.127.29:402/rtp/239.254.201.220:7256
成安电视,http://27.189.127.29:402/rtp/239.254.201.143:6210
承德公共,http://27.189.127.29:402/rtp/239.254.200.33:6000
承德新闻综合,http://27.189.127.29:402/rtp/239.254.200.32:6000
抚宁电视,http://27.189.127.29:402/rtp/239.254.201.213:5232
摄影,http://27.189.127.29:402/rtp/239.254.200.119:6246
故城电视,http://27.189.127.29:402/rtp/239.254.201.126:5362
文化精品,http://27.189.127.29:402/rtp/239.254.200.111:6251
文化精品高清,http://27.189.127.29:402/rtp/239.254.201.229:7260
文安电视,http://27.189.127.29:402/rtp/239.254.201.103:5314
文物宝库,http://27.189.127.29:402/rtp/239.254.200.106:6239
文物宝库高清,http://27.189.127.29:402/rtp/239.254.201.227:7230
新动漫,http://27.189.127.29:402/rtp/239.254.201.158:7170
无极电视,http://27.189.127.29:402/rtp/239.254.200.220:5167
早期教育,http://27.189.127.29:402/rtp/239.254.200.114:6244
早期教育高清,http://27.189.127.29:402/rtp/239.254.201.230:7253
昌黎电视,http://27.189.127.29:402/rtp/239.254.201.61:5230
晋州电视,http://27.189.127.29:402/rtp/239.254.201.127:5184
景县电视,http://27.189.127.29:402/rtp/239.254.200.240:5350
曲周电视,http://27.189.127.29:402/rtp/239.254.200.236:5210
曲阳电视,http://27.189.127.29:402/rtp/239.254.200.242:5265
望都电视,http://27.189.127.29:402/rtp/239.254.201.56:6246
极速汽车,http://27.189.127.29:402/rtp/239.254.201.168:6362
枣强电视,http://27.189.127.29:402/rtp/239.254.201.136:5363
柏乡电视,http://27.189.127.29:402/rtp/239.254.201.140:5383
栾城电视,http://27.189.127.29:402/rtp/239.254.200.215:5173
梨园,http://27.189.127.29:402/rtp/239.254.200.120:6247
梨园频道高清,http://27.189.127.29:402/rtp/239.254.201.231:7228
欢笑剧场,http://27.189.127.29:402/rtp/239.254.201.164:6355
武安电视,http://27.189.127.29:402/rtp/239.254.201.6:5216
武术世界,http://27.189.127.29:402/rtp/239.254.200.100:6234
武术世界高清,http://27.189.127.29:402/rtp/239.254.201.224:7229
武邑电视,http://27.189.127.29:402/rtp/239.254.201.8:5355
每日健身,http://27.189.127.29:402/rtp/239.254.201.174:7245
永清电视,http://27.189.127.29:402/rtp/239.254.201.141:5316
求索纪录,http://27.189.127.29:402/rtp/239.254.201.176:7221
汽摩,http://27.189.127.29:402/rtp/239.254.200.103:6252
沙河电视,http://27.189.127.29:402/rtp/239.254.200.181:5369
沧州公共,http://27.189.127.29:402/rtp/239.254.200.43:6000
沧州影视娱乐,http://27.189.127.29:402/rtp/239.254.200.44:6000
沧州新闻综合,http://27.189.127.29:402/rtp/239.254.200.42:6000
河北公共,http://27.189.127.29:402/rtp/239.254.200.22:6000
河北农民,http://27.189.127.29:402/rtp/239.254.200.23:6000
河北少儿科教,http://27.189.127.29:402/rtp/239.254.200.21:6000
河北影视剧,http://27.189.127.29:402/rtp/239.254.200.20:6000
河北杂技频道,http://27.189.127.29:402/rtp/239.254.201.139:7203
河北经济生活,http://27.189.127.29:402/rtp/239.254.200.18:6000
河北都市,http://27.189.127.29:402/rtp/239.254.200.19:6000
法治天地,http://27.189.127.29:402/rtp/239.254.201.183:7226
涉县电视,http://27.189.127.29:402/rtp/239.254.201.97:5222
涞水电视,http://27.189.127.29:402/rtp/239.254.201.10:5250
涞源电视,http://27.189.127.29:402/rtp/239.254.200.213:5260
涿州电视,http://27.189.127.29:402/rtp/239.254.201.17:5261
涿鹿电视,http://27.189.127.29:402/rtp/239.254.201.145:5272
深州电视,http://27.189.127.29:402/rtp/239.254.201.46:5357
深泽电视,http://27.189.127.29:402/rtp/239.254.201.108:5180
清河电视,http://27.189.127.29:402/rtp/239.254.200.170:5366
渤海电视,http://27.189.127.29:402/rtp/239.254.201.35:5327
游戏竞技,http://27.189.127.29:402/rtp/239.254.201.157:6269
游戏风云,http://27.189.127.29:402/rtp/239.254.201.163:6354
满城电视,http://27.189.127.29:402/rtp/239.254.200.222:5252
滦南电视,http://27.189.127.29:402/rtp/239.254.201.22:5191
滦州电视,http://27.189.127.29:402/rtp/239.254.201.30:5196
滦平电视,http://27.189.127.29:402/rtp/239.254.201.4:5291
玉田电视,http://27.189.127.29:402/rtp/239.254.201.28:5194
环球奇观,http://27.189.127.29:402/rtp/239.254.200.105:6238
环球旅游,http://27.189.127.29:402/rtp/239.254.201.161:6264
生态环境,http://27.189.127.29:402/rtp/239.254.201.187:6226
生活时尚,http://27.189.127.29:402/rtp/239.254.201.166:6359
电视指南,http://27.189.127.29:402/rtp/239.254.200.142:6256
电视指南,http://27.189.127.29:402/rtp/239.254.201.217:7250
盐山电视,http://27.189.127.29:402/rtp/239.254.201.114:5334
睛彩河北,http://27.189.127.29:402/rtp/239.254.200.27:6000
石家庄娱乐,http://27.189.127.29:402/rtp/239.254.200.29:6000
石家庄新闻综合,http://27.189.127.29:402/rtp/239.254.200.157:6000
石家庄生活,http://27.189.127.29:402/rtp/239.254.200.30:6000
石家庄都市,http://27.189.127.29:402/rtp/239.254.200.31:6000
秦皇岛公共,http://27.189.127.29:402/rtp/239.254.200.40:6000
秦皇岛影视,http://27.189.127.29:402/rtp/239.254.200.41:6000
秦皇岛新闻综合,http://27.189.127.29:402/rtp/239.254.200.39:6000
第一剧场,http://27.189.127.29:402/rtp/239.254.200.93:6227
第一剧场高清,http://27.189.127.29:402/rtp/239.254.201.218:7258
纪实人文,http://27.189.127.29:402/rtp/239.254.200.58:8060
网络棋牌,http://27.189.127.29:402/rtp/239.254.201.159:7169
羽毛球专区,http://27.189.127.29:402/rtp/239.254.201.214:7264
老故事,http://27.189.127.29:402/rtp/239.254.200.104:6237
聚鲨环球精选,http://27.189.127.29:402/rtp/239.254.201.81:7191
肃宁电视,http://27.189.127.29:402/rtp/239.254.201.122:5336
肥乡电视,http://27.189.127.29:402/rtp/239.254.201.105:5223
茶频道,http://27.189.127.29:402/rtp/239.254.200.228:6258
衡水公共,http://27.189.127.29:402/rtp/239.254.200.149:6000
衡水新闻综合,http://27.189.127.29:402/rtp/239.254.200.147:6000
财富天下,http://27.189.127.29:402/rtp/239.254.200.124:6370
赞皇电视,http://27.189.127.29:402/rtp/239.254.200.244:5177
赤城电视,http://27.189.127.29:402/rtp/239.254.201.131:5269
赵县电视,http://27.189.127.29:402/rtp/239.254.201.111:5183
足球频道,http://27.189.127.29:402/rtp/239.254.201.169:6341
车迷,http://27.189.127.29:402/rtp/239.254.201.162:6266
迁安电视,http://27.189.127.29:402/rtp/239.254.201.109:5199
迁西电视,http://27.189.127.29:402/rtp/239.254.201.26:5188
遵化电视,http://27.189.127.29:402/rtp/239.254.201.146:5202
邢台城市生活,http://27.189.127.29:402/rtp/239.254.200.152:6000
邢台综合,http://27.189.127.29:402/rtp/239.254.200.150:6000
邯山电视,http://27.189.127.29:402/rtp/239.254.201.116:5225
邯郸公共,http://27.189.127.29:402/rtp/239.254.200.154:6000
邯郸新闻综合,http://27.189.127.29:402/rtp/239.254.200.153:6000
邯郸科技教育,http://27.189.127.29:402/rtp/239.254.200.155:6000
邱县电视,http://27.189.127.29:402/rtp/239.254.201.129:6209
都市剧场,http://27.189.127.29:402/rtp/239.254.201.167:6360
金色学堂,http://27.189.127.29:402/rtp/239.254.201.182:7227
金鹰卡通,http://27.189.127.29:402/rtp/239.254.200.92:9252
金鹰纪实,http://27.189.127.29:402/rtp/239.254.200.189:6293
阜城电视,http://27.189.127.29:402/rtp/239.254.201.98:5361
阜平电视,http://27.189.127.29:402/rtp/239.254.201.40:5248
陶瓷,http://27.189.127.29:402/rtp/239.254.201.21:7175
隆化电视,http://27.189.127.29:402/rtp/239.254.201.142:5296
隆尧电视,http://27.189.127.29:402/rtp/239.254.201.69:5379
雄县电视,http://27.189.127.29:402/rtp/239.254.201.94:6254
霸州电视,http://27.189.127.29:402/rtp/239.254.200.4:5313
青县电视,http://27.189.127.29:402/rtp/239.254.201.112:5333
靓妆,http://27.189.127.29:402/rtp/239.254.200.122:6249
音像世界（DOXTV）,http://27.189.127.29:402/rtp/239.254.201.175:7243
顺平电视,http://27.189.127.29:402/rtp/239.254.201.118:6257
风云剧场,http://27.189.127.29:402/rtp/239.254.200.94:6228
风云剧场高清,http://27.189.127.29:402/rtp/239.254.201.219:7257
风云足球,http://27.189.127.29:402/rtp/239.254.200.97:6231
风云足球高清,http://27.189.127.29:402/rtp/239.254.201.222:7251
风云音乐,http://27.189.127.29:402/rtp/239.254.200.96:6230
风云音乐高清,http://27.189.127.29:402/rtp/239.254.201.221:7259
饶阳电视,http://27.189.127.29:402/rtp/239.254.201.44:5353
馆陶电视,http://27.189.127.29:402/rtp/239.254.201.106:5224
香河电视,http://27.189.127.29:402/rtp/239.254.201.32:5306
马拉松,http://27.189.127.29:402/rtp/239.254.201.173:7246
高尔夫网球,http://27.189.127.29:402/rtp/239.254.200.98:6232
高尔夫网球高清,http://27.189.127.29:402/rtp/239.254.201.223:7252
高碑店电视,http://27.189.127.29:402/rtp/239.254.200.210:5254
高邑电视,http://27.189.127.29:402/rtp/239.254.201.24:5170
高阳电视,http://27.189.127.29:402/rtp/239.254.201.96:6253
魏县电视,http://27.189.127.29:402/rtp/239.254.201.148:6211
鸡泽电视,http://27.189.127.29:402/rtp/239.254.201.60:5218
鹿泉电视,http://27.189.127.29:402/rtp/239.254.201.204:6166
黄骅电视,http://27.189.127.29:402/rtp/239.254.201.36:5325
央视频道联通线路,#genre#
CCTV-1综合,http://121.29.90.100:7077/rtp/239.253.92.83:8012
CCTV-1综合,http://121.17.146.174:2022/rtp/239.253.92.83:8012
CCTV-1综合,http://120.4.2.214:4000/rtp/239.253.92.83:8012
CCTV-1综合,http://110.248.95.8:9999/rtp/239.253.92.83:8012
CCTV-1综合,http://110.230.123.191:6666/rtp/239.253.92.83:8012
CCTV-1综合,http://120.6.2.161:4000/rtp/239.253.92.83:8012
CCTV-2财经,http://121.29.90.100:7077/rtp/239.253.92.190:6065
CCTV-2财经,http://121.17.146.174:2022/rtp/239.253.92.190:6065
CCTV-2财经,http://120.4.2.214:4000/rtp/239.253.92.190:6065
CCTV-2财经,http://110.248.95.8:9999/rtp/239.253.92.190:6065
CCTV-2财经,http://110.230.123.191:6666/rtp/239.253.92.190:6065
CCTV-2财经,http://120.6.2.161:4000/rtp/239.253.92.190:6065
CCTV-3综艺,http://121.29.90.100:7077/rtp/239.253.92.191:6057
CCTV-3综艺,http://121.17.146.174:2022/rtp/239.253.92.191:6057
CCTV-3综艺,http://120.4.2.214:4000/rtp/239.253.92.191:6057
CCTV-3综艺,http://110.248.95.8:9999/rtp/239.253.92.191:6057
CCTV-3综艺,http://110.230.123.191:6666/rtp/239.253.92.191:6057
CCTV-3综艺,http://120.6.2.161:4000/rtp/239.253.92.191:6057
CCTV-4亚洲,http://121.29.90.100:7077/rtp/239.253.92.251:6141
CCTV-4亚洲,http://121.17.146.174:2022/rtp/239.253.92.251:6141
CCTV-4亚洲,http://120.4.2.214:4000/rtp/239.253.92.251:6141
CCTV-4亚洲,http://110.248.95.8:9999/rtp/239.253.92.251:6141
CCTV-4亚洲,http://110.230.123.191:6666/rtp/239.253.92.251:6141
CCTV-4亚洲,http://120.6.2.161:4000/rtp/239.253.92.251:6141
CCTV-5体育,http://121.29.90.100:7077/rtp/239.253.92.181:6046
CCTV-5体育,http://121.17.146.174:2022/rtp/239.253.92.181:6046
CCTV-5体育,http://120.4.2.214:4000/rtp/239.253.92.181:6046
CCTV-5体育,http://110.248.95.8:9999/rtp/239.253.92.181:6046
CCTV-5体育,http://110.230.123.191:6666/rtp/239.253.92.181:6046
CCTV-5体育,http://120.6.2.161:4000/rtp/239.253.92.181:6046
CCTV-5+体育赛事,http://121.29.90.100:7077/rtp/239.253.92.82:8013
CCTV-5+体育赛事,http://121.17.146.174:2022/rtp/239.253.92.82:8013
CCTV-5+体育赛事,http://120.4.2.214:4000/rtp/239.253.92.82:8013
CCTV-5+体育赛事,http://110.248.95.8:9999/rtp/239.253.92.82:8013
CCTV-5+体育赛事,http://110.230.123.191:6666/rtp/239.253.92.82:8013
CCTV-5+体育赛事,http://120.6.2.161:4000/rtp/239.253.92.82:8013
CCTV-6电影,http://121.29.90.100:7077/rtp/239.253.92.193:6058
CCTV-6电影,http://121.17.146.174:2022/rtp/239.253.92.193:6058
CCTV-6电影,http://120.4.2.214:4000/rtp/239.253.92.193:6058
CCTV-6电影,http://110.248.95.8:9999/rtp/239.253.92.193:6058
CCTV-6电影,http://110.230.123.191:6666/rtp/239.253.92.193:6058
CCTV-6电影,http://120.6.2.161:4000/rtp/239.253.92.193:6058
CCTV-7国防军事,http://121.29.90.100:7077/rtp/239.253.92.194:6059
CCTV-7国防军事,http://121.17.146.174:2022/rtp/239.253.92.194:6059
CCTV-7国防军事,http://120.4.2.214:4000/rtp/239.253.92.194:6059
CCTV-7国防军事,http://110.248.95.8:9999/rtp/239.253.92.194:6059
CCTV-7国防军事,http://110.230.123.191:6666/rtp/239.253.92.194:6059
CCTV-7国防军事,http://120.6.2.161:4000/rtp/239.253.92.194:6059
CCTV-8电视剧,http://121.29.90.100:7077/rtp/239.253.92.195:6060
CCTV-8电视剧,http://121.17.146.174:2022/rtp/239.253.92.195:6060
CCTV-8电视剧,http://120.4.2.214:4000/rtp/239.253.92.195:6060
CCTV-8电视剧,http://110.248.95.8:9999/rtp/239.253.92.195:6060
CCTV-8电视剧,http://110.230.123.191:6666/rtp/239.253.92.195:6060
CCTV-8电视剧,http://120.6.2.161:4000/rtp/239.253.92.195:6060
CCTV-9纪录,http://121.29.90.100:7077/rtp/239.253.92.107:6020
CCTV-9纪录,http://121.17.146.174:2022/rtp/239.253.92.107:6020
CCTV-9纪录,http://120.4.2.214:4000/rtp/239.253.92.107:6020
CCTV-9纪录,http://110.248.95.8:9999/rtp/239.253.92.107:6020
CCTV-9纪录,http://110.230.123.191:6666/rtp/239.253.92.107:6020
CCTV-9纪录,http://120.6.2.161:4000/rtp/239.253.92.107:6020
CCTV-10科教,http://121.29.90.100:7077/rtp/239.253.92.196:6061
CCTV-10科教,http://121.17.146.174:2022/rtp/239.253.92.196:6061
CCTV-10科教,http://120.4.2.214:4000/rtp/239.253.92.196:6061
CCTV-10科教,http://110.248.95.8:9999/rtp/239.253.92.196:6061
CCTV-10科教,http://110.230.123.191:6666/rtp/239.253.92.196:6061
CCTV-10科教,http://120.6.2.161:4000/rtp/239.253.92.196:6061
CCTV-11戏曲,http://121.29.90.100:7077/rtp/239.253.93.153:6321
CCTV-11戏曲,http://121.17.146.174:2022/rtp/239.253.93.153:6321
CCTV-11戏曲,http://120.4.2.214:4000/rtp/239.253.93.153:6321
CCTV-11戏曲,http://110.248.95.8:9999/rtp/239.253.93.153:6321
CCTV-11戏曲,http://110.230.123.191:6666/rtp/239.253.93.153:6321
CCTV-11戏曲,http://120.6.2.161:4000/rtp/239.253.93.153:6321
CCTV-12社会与法,http://121.29.90.100:7077/rtp/239.253.92.197:6062
CCTV-12社会与法,http://121.17.146.174:2022/rtp/239.253.92.197:6062
CCTV-12社会与法,http://120.4.2.214:4000/rtp/239.253.92.197:6062
CCTV-12社会与法,http://110.248.95.8:9999/rtp/239.253.92.197:6062
CCTV-12社会与法,http://110.230.123.191:6666/rtp/239.253.92.197:6062
CCTV-12社会与法,http://120.6.2.161:4000/rtp/239.253.92.197:6062
CCTV-13新闻,http://121.29.90.100:7077/rtp/239.253.92.13:8008
CCTV-13新闻,http://121.17.146.174:2022/rtp/239.253.92.13:8008
CCTV-13新闻,http://120.4.2.214:4000/rtp/239.253.92.13:8008
CCTV-13新闻,http://110.248.95.8:9999/rtp/239.253.92.13:8008
CCTV-13新闻,http://110.230.123.191:6666/rtp/239.253.92.13:8008
CCTV-13新闻,http://120.6.2.161:4000/rtp/239.253.92.13:8008
CCTV-14少儿,http://121.29.90.100:7077/rtp/239.253.92.198:6063
